time_ns,scenario,job_id,job_type,source_node,placement_status,algorithm,selected_node,route,rtt_ns,hop_count,gpu_util_percent,queue_length,compute_speed,network_score,compute_score,total_score,network_time_ms,queue_wait_time_ms,compute_time_ms,total_time_ms,failed_isls
500000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34591531.836541735,4,,,,,,,34.59153183654173,1111.111111111111,1111.111111111111,2256.813754058764,
600000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34592948.73459096,4,20.0,1,0.9,,,,,,,,
600000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15886353.349829227,2,,,,,,,,,,,
600000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15886353.349829227,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
600000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34592948.73459096,4,,,,,,,34.59294873459096,1111.111111111111,1111.111111111111,2256.815170956813,
700000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34594363.18369946,4,20.0,1,0.9,,,,,,,,
700000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15882607.78660804,2,,,,,,,,,,,
700000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15882607.78660804,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
700000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34594363.18369946,4,,,,,,,34.59436318369946,1111.111111111111,1111.111111111111,2256.8165854059216,
800000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34595791.32888489,4,20.0,1,0.9,,,,,,,,
800000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15878857.468464414,2,,,,,,,,,,,
800000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15878857.468464414,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
800000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34595791.32888489,4,,,,,,,34.59579132888489,1111.111111111111,1111.111111111111,2256.818013551107,
900000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34597218.89403903,4,20.0,1,0.9,,,,,,,,
900000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15875110.315325558,2,,,,,,,,,,,
900000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15875110.315325558,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
900000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34597218.89403903,4,,,,,,,34.597218894039024,1111.111111111111,1111.111111111111,2256.8194411162613,
1000000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34598642.72224485,4,20.0,1,0.9,,,,,,,,
1000000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15871367.990642553,2,,,,,,,,,,,
1000000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15871367.990642553,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
1000000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34598642.72224485,4,,,,,,,34.598642722244854,1111.111111111111,1111.111111111111,2256.820864944467,
1100000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34600074.59823256,4,20.0,1,0.9,,,,,,,,
1100000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15867626.46916768,2,,,,,,,,,,,
1100000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15867626.46916768,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
1100000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34600074.59823256,4,,,,,,,34.60007459823256,1111.111111111111,1111.111111111111,2256.8222968204545,
1200000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34601509.83818278,4,20.0,1,0.9,,,,,,,,
1200000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15863876.1647155,2,,,,,,,,,,,
1200000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15863876.1647155,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
1200000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34601509.83818278,4,,,,,,,34.60150983818278,1111.111111111111,1111.111111111111,2256.823732060405,
1300000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34602946.4251859,4,20.0,1,0.9,,,,,,,,
1300000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15860136.244583467,2,,,,,,,,,,,
1300000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15860136.244583467,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
1300000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34602946.4251859,4,,,,,,,34.6029464251859,1111.111111111111,1111.111111111111,2256.8251686474077,
1400000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34604389.925726034,4,20.0,1,0.9,,,,,,,,
1400000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15856393.93268981,2,,,,,,,,,,,
1400000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15856393.93268981,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
1400000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34604389.925726034,4,,,,,,,34.60438992572603,1111.111111111111,1111.111111111111,2256.8266121479483,
1500000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34605829.29954997,4,20.0,1,0.9,,,,,,,,
1500000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15852653.253603118,2,,,,,,,,,,,
1500000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15852653.253603118,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
1500000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34605829.29954997,4,,,,,,,34.60582929954997,1111.111111111111,1111.111111111111,2256.828051521772,
1600000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34607277.596600726,4,20.0,1,0.9,,,,,,,,
1600000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15848913.378629025,2,,,,,,,,,,,
1600000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15848913.378629025,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
1600000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34607277.596600726,4,,,,,,,34.607277596600724,1111.111111111111,1111.111111111111,2256.829499818823,
1700000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34608724.00950264,4,20.0,1,0.9,,,,,,,,
1700000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15845176.664386967,2,,,,,,,,,,,
1700000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15845176.664386967,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
1700000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34608724.00950264,4,,,,,,,34.608724009502644,1111.111111111111,1111.111111111111,2256.8309462317247,
1800000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34610167.10081223,4,20.0,1,0.9,,,,,,,,
1800000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15841436.031021584,2,,,,,,,,,,,
1800000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15841436.031021584,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
1800000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34610167.10081223,4,,,,,,,34.61016710081223,1111.111111111111,1111.111111111111,2256.8323893230345,
1900000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34611623.82020346,4,20.0,1,0.9,,,,,,,,
1900000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15837704.309826266,2,,,,,,,,,,,
1900000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15837704.309826266,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
1900000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34611623.82020346,4,,,,,,,34.61162382020346,1111.111111111111,1111.111111111111,2256.8338460424256,
2000000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34613078.715208136,4,20.0,1,0.9,,,,,,,,
2000000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15833964.445705818,2,,,,,,,,,,,
2000000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15833964.445705818,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
2000000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34613078.715208136,4,,,,,,,34.61307871520813,1111.111111111111,1111.111111111111,2256.8353009374305,
2100000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34614540.48446975,4,20.0,1,0.9,,,,,,,,
2100000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15830229.411672067,2,,,,,,,,,,,
2100000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15830229.411672067,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
2100000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34614540.48446975,4,,,,,,,34.61454048446975,1111.111111111111,1111.111111111111,2256.836762706692,
2200000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34615999.21565414,4,20.0,1,0.9,,,,,,,,
2200000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15826495.178168489,2,,,,,,,,,,,
2200000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15826495.178168489,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
2200000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34615999.21565414,4,,,,,,,34.61599921565414,1111.111111111111,1111.111111111111,2256.838221437876,
2300000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34617464.72483626,4,20.0,1,0.9,,,,,,,,
2300000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15822767.493920872,2,,,,,,,,,,,
2300000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15822767.493920872,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
2300000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34617464.72483626,4,,,,,,,34.61746472483626,1111.111111111111,1111.111111111111,2256.8396869470585,
2400000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34618930.561390765,4,20.0,1,0.9,,,,,,,,
2400000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15819031.670144064,2,,,,,,,,,,,
2400000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15819031.670144064,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
2400000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34618930.561390765,4,,,,,,,34.61893056139076,1111.111111111111,1111.111111111111,2256.841152783613,
2500000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34620401.89911881,4,20.0,1,0.9,,,,,,,,
2500000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15815299.84155981,2,,,,,,,,,,,
2500000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15815299.84155981,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
2500000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34620401.89911881,4,,,,,,,34.62040189911881,1111.111111111111,1111.111111111111,2256.842624121341,
2600000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34621867.78026999,4,20.0,1,0.9,,,,,,,,
2600000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15811569.650235841,2,,,,,,,,,,,
2600000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15811569.650235841,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
2600000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34621867.78026999,4,,,,,,,34.62186778026999,1111.111111111111,1111.111111111111,2256.844090002492,
2700000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34623350.01786374,4,20.0,1,0.9,,,,,,,,
2700000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15807841.977548074,2,,,,,,,,,,,
2700000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15807841.977548074,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
2700000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34623350.01786374,4,,,,,,,34.62335001786374,1111.111111111111,1111.111111111111,2256.845572240086,
2800000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34624825.07396201,4,20.0,1,0.9,,,,,,,,
2800000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15804113.387716169,2,,,,,,,,,,,
2800000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15804113.387716169,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
2800000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34624825.07396201,4,,,,,,,34.62482507396201,1111.111111111111,1111.111111111111,2256.8470472961844,
2900000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34626308.09315327,4,20.0,1,0.9,,,,,,,,
2900000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15800391.344417077,2,,,,,,,,,,,
2900000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15800391.344417077,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
2900000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34626308.09315327,4,,,,,,,34.62630809315327,1111.111111111111,1111.111111111111,2256.8485303153757,
3000000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34627790.122486286,4,20.0,1,0.9,,,,,,,,
3000000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15796661.997984312,2,,,,,,,,,,,
3000000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15796661.997984312,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
3000000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34627790.122486286,4,,,,,,,34.62779012248629,1111.111111111111,1111.111111111111,2256.8500123447084,
3100000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34629281.79514825,4,20.0,1,0.9,,,,,,,,
3100000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15792935.812916562,2,,,,,,,,,,,
3100000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15792935.812916562,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
3100000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34629281.79514825,4,,,,,,,34.62928179514825,1111.111111111111,1111.111111111111,2256.8515040173706,
3200000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34630766.29270696,4,20.0,1,0.9,,,,,,,,
3200000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15789213.814950384,2,,,,,,,,,,,
3200000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15789213.814950384,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
3200000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34630766.29270696,4,,,,,,,34.63076629270696,1111.111111111111,1111.111111111111,2256.852988514929,
3300000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34632255.245803334,4,20.0,1,0.9,,,,,,,,
3300000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15785493.260517875,2,,,,,,,,,,,
3300000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15785493.260517875,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
3300000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34632255.245803334,4,,,,,,,34.632255245803336,1111.111111111111,1111.111111111111,2256.854477468026,
3400000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34633750.99855942,4,20.0,1,0.9,,,,,,,,
3400000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15781769.67143457,2,,,,,,,,,,,
3400000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15781769.67143457,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
3400000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34633750.99855942,4,,,,,,,34.63375099855942,1111.111111111111,1111.111111111111,2256.8559732207814,
3500000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34635249.05786515,4,20.0,1,0.9,,,,,,,,
3500000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15778046.883559555,2,,,,,,,,,,,
3500000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15778046.883559555,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
3500000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34635249.05786515,4,,,,,,,34.63524905786515,1111.111111111111,1111.111111111111,2256.8574712800873,
3600000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34636744.912988335,4,20.0,1,0.9,,,,,,,,
3600000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15774326.373917129,2,,,,,,,,,,,
3600000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15774326.373917129,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
3600000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34636744.912988335,4,,,,,,,34.636744912988334,1111.111111111111,1111.111111111111,2256.8589671352106,
3700000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34638246.5256377,4,20.0,1,0.9,,,,,,,,
3700000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15770609.216300854,2,,,,,,,,,,,
3700000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15770609.216300854,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
3700000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34638246.5256377,4,,,,,,,34.638246525637705,1111.111111111111,1111.111111111111,2256.86046874786,
3800000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34639750.09624192,4,20.0,1,0.9,,,,,,,,
3800000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15766890.309793718,2,,,,,,,,,,,
3800000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15766890.309793718,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
3800000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34639750.09624192,4,,,,,,,34.63975009624192,1111.111111111111,1111.111111111111,2256.861972318464,
3900000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34641261.879820235,4,20.0,1,0.9,,,,,,,,
3900000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15763171.56108292,2,,,,,,,,,,,
3900000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15763171.56108292,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
3900000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34641261.879820235,4,,,,,,,34.641261879820235,1111.111111111111,1111.111111111111,2256.863484102042,
4000000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34642773.41392267,4,20.0,1,0.9,,,,,,,,
4000000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15759460.001100514,2,,,,,,,,,,,
4000000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15759460.001100514,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
4000000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34642773.41392267,4,,,,,,,34.64277341392267,1111.111111111111,1111.111111111111,2256.864995636145,
4100000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34644286.39851819,4,20.0,1,0.9,,,,,,,,
4100000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15755744.334775947,2,,,,,,,,,,,
4100000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15755744.334775947,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
4100000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34644286.39851819,4,,,,,,,34.64428639851819,1111.111111111111,1111.111111111111,2256.86650862074,
4200000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34645798.32142799,4,20.0,1,0.9,,,,,,,,
4200000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15752032.01755788,2,,,,,,,,,,,
4200000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15752032.01755788,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
4200000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34645798.32142799,4,,,,,,,34.645798321427996,1111.111111111111,1111.111111111111,2256.8680205436503,
4300000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34647318.3990869,4,20.0,1,0.9,,,,,,,,
4300000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15748317.30767211,2,,,,,,,,,,,
4300000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15748317.30767211,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
4300000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34647318.3990869,4,,,,,,,34.6473183990869,1111.111111111111,1111.111111111111,2256.869540621309,
4400000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34648840.24312648,4,20.0,1,0.9,,,,,,,,
4400000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15744609.786659617,2,,,,,,,,,,,
4400000000,NORMAL,job_001,image_inference,12,PLACED,compute_aware,0,12-1-0,15744609.786659617,2,35.0,2,1.0,0.0,0.5,0.25,,,,,
4400000000,NORMAL,job_001,image_inference,12,PLACED,completion_time,7,12-9-10-11-7,34648840.24312648,4,,,,,,,34.64884024312648,1111.111111111111,1111.111111111111,2256.8710624653486,
4500000000,NORMAL,job_001,image_inference,12,PLACED,compute_only,7,12-9-10-11-7,34650365.317582086,4,20.0,1,0.9,,,,,,,,
4500000000,NORMAL,job_001,image_inference,12,PLACED,network_only,0,12-1-0,15740894.96443671,2,,,,,,,,,,,
