job_id,arrival_time_ns,job_type,required_compute,input_size_mb,deadline_ms,source_node
job_035,68652525253,object_detection,1600.0,104.0,1200.0,12
job_036,70671717172,llm_inference,3200.0,36.0,2000.0,12
job_037,72690909091,image_inference,900.0,48.0,750.0,12
job_038,74710101010,object_detection,1500.0,100.0,1200.0,12
job_039,76729292929,llm_inference,3350.0,32.0,2000.0,12
job_040,78748484848,image_inference,1050.0,60.0,750.0,12
job_041,80767676768,object_detection,1400.0,96.0,1200.0,12
job_042,82786868687,llm_inference,3250.0,28.0,2000.0,12
job_043,84806060606,image_inference,950.0,56.0,750.0,12
job_044,86825252525,object_detection,1550.0,108.0,1200.0,12
job_045,88844444444,llm_inference,3400.0,24.0,2000.0,12
job_046,90863636364,image_inference,850.0,52.0,750.0,12
job_047,92882828283,object_detection,1450.0,104.0,1200.0,12
job_048,94902020202,llm_inference,3300.0,36.0,2000.0,12
job_049,96921212121,image_inference,1000.0,48.0,750.0,12
job_050,98940404040,object_detection,1600.0,100.0,1200.0,12
job_051,100959595960,llm_inference,3200.0,32.0,2000.0,12
job_052,102978787879,image_inference,900.0,60.0,750.0,12
job_053,104997979798,object_detection,1500.0,96.0,1200.0,12
job_054,107017171717,llm_inference,3350.0,28.0,2000.0,12
job_055,109036363636,image_inference,1050.0,56.0,750.0,12
job_056,111055555556,object_detection,1400.0,108.0,1200.0,12
job_057,113074747475,llm_inference,3250.0,24.0,2000.0,12
job_058,115093939394,image_inference,950.0,52.0,750.0,12
job_059,117113131313,object_detection,1550.0,104.0,1200.0,12
job_060,119132323232,llm_inference,3400.0,36.0,2000.0,12
job_061,121151515152,image_inference,850.0,48.0,750.0,12
job_062,123170707071,object_detection,1450.0,100.0,1200.0,12
job_063,125189898990,llm_inference,3300.0,32.0,2000.0,12
job_064,127209090909,image_inference,1000.0,60.0,750.0,12
job_065,129228282828,object_detection,1600.0,96.0,1200.0,12
job_066,131247474747,llm_inference,3200.0,28.0,2000.0,12
job_067,133266666667,image_inference,900.0,56.0,750.0,12
job_068,135285858586,object_detection,1500.0,108.0,1200.0,12
job_069,137305050505,llm_inference,3350.0,24.0,2000.0,12
job_070,139324242424,image_inference,1050.0,52.0,750.0,12
job_071,141343434343,object_detection,1400.0,104.0,1200.0,12
job_072,143362626263,llm_inference,3250.0,36.0,2000.0,12
job_073,145381818182,image_inference,950.0,48.0,750.0,12
job_074,147401010101,object_detection,1550.0,100.0,1200.0,12
job_075,149420202020,llm_inference,3400.0,32.0,2000.0,12
job_076,151439393939,image_inference,850.0,60.0,750.0,12
job_077,153458585859,object_detection,1450.0,96.0,1200.0,12
job_078,155477777778,llm_inference,3300.0,28.0,2000.0,12
job_079,157496969697,image_inference,1000.0,56.0,750.0,12
job_080,159516161616,object_detection,1600.0,108.0,1200.0,12
job_081,161535353535,llm_inference,3200.0,24.0,2000.0,12
job_082,163554545455,image_inference,900.0,52.0,750.0,12
job_083,165573737374,object_detection,1500.0,104.0,1200.0,12
job_084,167592929293,llm_inference,3350.0,36.0,2000.0,12
job_085,169612121212,image_inference,1050.0,48.0,750.0,12
job_086,171631313131,object_detection,1400.0,100.0,1200.0,12
job_087,173650505051,llm_inference,3250.0,32.0,2000.0,12
job_088,175669696970,image_inference,950.0,60.0,750.0,12
job_089,177688888889,object_detection,1550.0,96.0,1200.0,12
job_090,179708080808,llm_inference,3400.0,28.0,2000.0,12
job_091,181727272727,image_inference,850.0,56.0,750.0,12
job_092,183746464646,object_detection,1450.0,108.0,1200.0,12
job_093,185765656566,llm_inference,3300.0,24.0,2000.0,12
job_094,187784848485,image_inference,1000.0,52.0,750.0,12
job_095,189804040404,object_detection,1600.0,104.0,1200.0,12
job_096,191823232323,llm_inference,3200.0,36.0,2000.0,12
job_097,193842424242,image_inference,900.0,48.0,750.0,12
job_098,195861616162,object_detection,1500.0,100.0,1200.0,12
job_099,197880808081,llm_inference,3350.0,32.0,2000.0,12
job_100,199900000000,image_inference,1050.0,60.0,750.0,12
